address,postcode,property_type,bedrooms,tenure,last_sold_date,last_sold_price
"19, Easton Drive, Cheadle 13 Semi-Detached 3 Freehold P",SK8 2JD,Detached,3.0,Freehold,19 Dec 2025,384044
"19, Easton Drive, Cheadle 13 Semi-Detached 3 Freehold P",SK8 2JD,Detached,3.0,Freehold,19 Dec 2025,315000
"105, East Avenue, Heald Green, Cheadle 10 Detached 3 Leasehold Previ",SK8 3BS,Detached,3.0,Leasehold,17 Dec 2025,427450
"3, Massie Street, Cheadle 15 Terraced 4 Freehold Previo",SK8 1BW,Terraced,4.0,Freehold,12 Dec 2025,287500
"12, Adshall Road, Cheadle 14 Terraced 2 Freehold Previo",SK8 2JN,Terraced,2.0,Freehold,12 Dec 2025,210000
"201, Styal Road, Heald Green, Cheadle 28 Detached 4 Freehold Previo",SK8 3UA,Detached,4.0,Freehold,12 Dec 2025,640000
"92, Ladybridge Road, Cheadle Hulme, Cheadle 16 Semi-Detached 2 Freehold P",SK8 5PQ,Detached,2.0,Freehold,12 Dec 2025,297000
"34, Jackson Street, Cheadle 11 Terraced 2 Freehold Previo",SK8 2AU,Terraced,2.0,Freehold,11 Dec 2025,235000
"5, Farnham Close, Cheadle Hulme, Cheadle 13 Semi-Detached 3 Leasehold",SK8 6PD,Detached,3.0,Leasehold,10 Dec 2025,380000
"12, Brooklyn Place, Ashfield Road, Cheadle 13 Flat 2 Leasehold Previous",SK8 1BG,Flat,2.0,Leasehold,8 Dec 2025,175000
"114, Oakdale Drive, Heald Green, Cheadle 16 Detached 4 Freehold Previo",SK8 3SW,Detached,4.0,Freehold,8 Dec 2025,485000
"5, Radnormere Drive, Cheadle Hulme, Cheadle 13 Detached 3 Freehold Previo",SK8 5JX,Detached,3.0,Freehold,5 Dec 2025,446500
"6, Coppice Court, Heald Green, Cheadle 20 Flat 2 Leasehold Previous",SK8 3JY,Flat,2.0,Leasehold,5 Dec 2025,225000
"93, Shakespeare Drive, Cheadle 10 Semi-Detached 3 Freehold P",SK8 2DQ,Detached,3.0,Freehold,5 Dec 2025,310000
